scheme_name,page_url,pdf_url,status,saved_path
Scholarship Result,https://www.vidyasaarathi.co.in/Vidyasaarathi/scholarship/javascript:void(0),,NO_PDF_FOUND,
Closed Schemes,https://www.vidyasaarathi.co.in/Vidyasaarathi/scholarship/#2b,,NO_PDF_FOUND,
Scholarship Scheme,https://sjmsnew.rajasthan.gov.in/scholarship/StudentDashBoard.aspx,,FAILED_TO_LOAD_PAGE,
CM Kanyadan Scheme,https://sso.rajasthan.gov.in/signin,,NO_PDF_FOUND,
Palanhar Scheme,https://sjmsnew.rajasthan.gov.in/palanhaar/,,FAILED_TO_LOAD_PAGE,
Press Note regarding Funeral Grant Scheme,https://sje.rajasthan.gov.in/siteadmin/Uploads/202607161201598561.pdf,,NO_PDF_FOUND,
Departmental Schemes/Activites,https://sje.rajasthan.gov.in/Default.aspx?PageID=2,https://sje.rajasthan.gov.in/Schemes/Antheyesthi_Scheme.pdf,DOWNLOADED,Scheme_PDFs/Departmental Schemes_Activites/Antheyesthi_Scheme.pdf
Departmental Schemes/Activites,https://sje.rajasthan.gov.in/Default.aspx?PageID=2,https://sje.rajasthan.gov.in/Schemes/beggars and Poor people.pdf,DOWNLOADED,Scheme_PDFs/Departmental Schemes_Activites/beggars and Poor people.pdf
Departmental Schemes/Activites,https://sje.rajasthan.gov.in/Default.aspx?PageID=2,https://sje.rajasthan.gov.in/pt_deendayal_process_of_registration.pdf,DOWNLOADED,Scheme_PDFs/Departmental Schemes_Activites/pt_deendayal_process_of_registration.pdf
Departmental Schemes/Activites,https://sje.rajasthan.gov.in/Default.aspx?PageID=2,https://sje.rajasthan.gov.in/pt_deendayal_shivir_n_types_of_disability.pdf,DOWNLOADED,Scheme_PDFs/Departmental Schemes_Activites/pt_deendayal_shivir_n_types_of_disability.pdf
Departmental Schemes/Activites,https://sje.rajasthan.gov.in/Default.aspx?PageID=2,https://sje.rajasthan.gov.in/sap_rules_act_2016_n_21_types_disabilities.pdf,DOWNLOADED,Scheme_PDFs/Departmental Schemes_Activites/sap_rules_act_2016_n_21_types_disabilities.pdf
Departmental Schemes/Activites,https://sje.rajasthan.gov.in/Default.aspx?PageID=2,https://sje.rajasthan.gov.in/sap_welfare_schemes.pdf,DOWNLOADED,Scheme_PDFs/Departmental Schemes_Activites/sap_welfare_schemes.pdf
Departmental Schemes/Activites,https://sje.rajasthan.gov.in/Default.aspx?PageID=2,https://sje.rajasthan.gov.in/siteadmin/Uploads/201910311530534583.pdf,DOWNLOADED,Scheme_PDFs/Departmental Schemes_Activites/201910311530534583.pdf
Departmental Schemes/Activites,https://sje.rajasthan.gov.in/Default.aspx?PageID=2,https://sje.rajasthan.gov.in/siteadmin/Uploads/201911211545271328.pdf,DOWNLOADED,Scheme_PDFs/Departmental Schemes_Activites/201911211545271328.pdf
Departmental Schemes/Activites,https://sje.rajasthan.gov.in/Default.aspx?PageID=2,https://sje.rajasthan.gov.in/siteadmin/Uploads/202107061215060698.pdf,DOWNLOADED,Scheme_PDFs/Departmental Schemes_Activites/202107061215060698.pdf
Departmental Schemes/Activites,https://sje.rajasthan.gov.in/Default.aspx?PageID=2,https://sje.rajasthan.gov.in/siteadmin/Uploads/202107061604065219.pdf,DOWNLOADED,Scheme_PDFs/Departmental Schemes_Activites/202107061604065219.pdf
Departmental Schemes/Activites,https://sje.rajasthan.gov.in/Default.aspx?PageID=2,https://sje.rajasthan.gov.in/siteadmin/Uploads/202302241355250776.pdf,DOWNLOADED,Scheme_PDFs/Departmental Schemes_Activites/202302241355250776.pdf
Departmental Schemes/Activites,https://sje.rajasthan.gov.in/Default.aspx?PageID=2,https://sje.rajasthan.gov.in/siteadmin/Uploads/202302241449266853.pdf,DOWNLOADED,Scheme_PDFs/Departmental Schemes_Activites/202302241449266853.pdf
Departmental Schemes/Activites,https://sje.rajasthan.gov.in/Default.aspx?PageID=2,https://sje.rajasthan.gov.in/siteadmin/Uploads/202406271148090737.pdf,DOWNLOADED,Scheme_PDFs/Departmental Schemes_Activites/202406271148090737.pdf
Departmental Schemes/Activites,https://sje.rajasthan.gov.in/Default.aspx?PageID=2,https://sje.rajasthan.gov.in/siteadmin/Uploads/202503041308442595.pdf,DOWNLOADED,Scheme_PDFs/Departmental Schemes_Activites/202503041308442595.pdf
Departmental Schemes/Activites,https://sje.rajasthan.gov.in/Default.aspx?PageID=2,https://sje.rajasthan.gov.in/siteadmin/Uploads/202503041430346860.pdf,DOWNLOADED,Scheme_PDFs/Departmental Schemes_Activites/202503041430346860.pdf
Scholarship App,https://play.google.com/store/apps/details?id=com.sjescholarship,,NO_PDF_FOUND,
Scholarship Scheme Related FAQs,https://sje.rajasthan.gov.in/siteadmin/Uploads/202607131625194312.pdf,,NO_PDF_FOUND,
List Of Scholarships in India,https://www.scholarships.net.in/list-of-scholarships-in-india,,NO_PDF_FOUND,
Panasonic Ratti Chhatr Scholarship 2026-27,https://www.scholarships.net.in/64862.html,,NO_PDF_FOUND,
Aakash National Talent Hunt Exam (ANTHE) Scholarship 2026,https://www.scholarships.net.in/64856.html,,NO_PDF_FOUND,
Luxury Connect Business School Scholarship 2026-27,https://www.scholarships.net.in/64853.html,,NO_PDF_FOUND,
Indian School of Hospitality (ISH) Admission Scholarship 2026-27,https://www.scholarships.net.in/64848.html,,NO_PDF_FOUND,
Kotak Kanya Scholarship 2026-27,https://www.scholarships.net.in/64844.html,,NO_PDF_FOUND,
