scheme_name,url,organization,category,description,eligibility,benefits,last_updated
Scholarship Result,https://www.vidyasaarathi.co.in/Vidyasaarathi/scholarship/javascript:void(0),vidyasaarathi.co.in,Student Scheme,N/A,N/A,N/A,N/A
Closed Schemes,https://www.vidyasaarathi.co.in/Vidyasaarathi/scholarship/#2b,vidyasaarathi.co.in,Student Scheme,N/A,N/A,N/A,N/A
Departmental Schemes/Activites,https://sje.rajasthan.gov.in/Default.aspx?PageID=2,sje.rajasthan.gov.in,Student Scheme,N/A,N/A,N/A,N/A
Scholarship Portal,https://sje.rajasthan.gov.in/Scholarship_Portal.aspx,sje.rajasthan.gov.in,Student Scheme,N/A,N/A,N/A,N/A
Scholarship Application Status,https://sje.rajasthan.gov.in/#,sje.rajasthan.gov.in,Student Scheme,N/A,N/A,N/A,N/A
About Schemes,https://sje.rajasthan.gov.in/Default.aspx?PageID=3453,sje.rajasthan.gov.in,Student Scheme,N/A,N/A,N/A,N/A
Scholarship Scheme,https://sjmsnew.rajasthan.gov.in/scholarship/StudentDashBoard.aspx,sje.rajasthan.gov.in,Student Scheme,N/A,N/A,N/A,N/A
Palanhar Scheme,https://sjmsnew.rajasthan.gov.in/palanhaar/,sje.rajasthan.gov.in,Student Scheme,N/A,N/A,N/A,N/A
CM Kanyadan Scheme,https://sso.rajasthan.gov.in/signin,sje.rajasthan.gov.in,Student Scheme,N/A,N/A,N/A,N/A
Scholarship Portal,https://sjmsnew.rajasthan.gov.in/scholarship/,sje.rajasthan.gov.in,Student Scheme,N/A,N/A,N/A,N/A
Press Note regarding Funeral Grant Scheme,https://sje.rajasthan.gov.in/siteadmin/Uploads/202607161201598561.pdf,sje.rajasthan.gov.in,Student Scheme,N/A,N/A,N/A,N/A
Scholarship Scheme Related FAQs,https://sje.rajasthan.gov.in/siteadmin/Uploads/202607131625194312.pdf,sje.rajasthan.gov.in,Student Scheme,N/A,N/A,N/A,N/A
Scholarship App,https://play.google.com/store/apps/details?id=com.sjescholarship,sje.rajasthan.gov.in,Student Scheme,N/A,N/A,N/A,N/A
List Of Scholarships in India,https://www.scholarships.net.in/list-of-scholarships-in-india,scholarships.net.in,Student Scheme,N/A,N/A,N/A,N/A
Panasonic Ratti Chhatr Scholarship 2026-27,https://www.scholarships.net.in/64862.html,scholarships.net.in,Student Scheme,N/A,N/A,N/A,N/A
Aakash National Talent Hunt Exam (ANTHE) Scholarship 2026,https://www.scholarships.net.in/64856.html,scholarships.net.in,Student Scheme,N/A,N/A,N/A,N/A
Luxury Connect Business School Scholarship 2026-27,https://www.scholarships.net.in/64853.html,scholarships.net.in,Student Scheme,N/A,N/A,N/A,N/A
Indian School of Hospitality (ISH) Admission Scholarship 2026-27,https://www.scholarships.net.in/64848.html,scholarships.net.in,Student Scheme,N/A,N/A,N/A,N/A
Kotak Kanya Scholarship 2026-27,https://www.scholarships.net.in/64844.html,scholarships.net.in,Student Scheme,N/A,N/A,N/A,N/A
Mohan T Advani Centennial Scholarship 2026-27 For Diploma Students,https://www.scholarships.net.in/64839.html,scholarships.net.in,Student Scheme,N/A,N/A,N/A,N/A
Mohan T Advani Centennial Scholarship 2026-27 For Engineering & Architecture Students,https://www.scholarships.net.in/64837.html,scholarships.net.in,Student Scheme,N/A,N/A,N/A,N/A
Hero FinCorp Raman Kant Munjal Scholarship 2026-27,https://www.scholarships.net.in/64834.html,scholarships.net.in,Student Scheme,N/A,N/A,N/A,N/A
Buddy4Study College Admission Scholarship 2026-27,https://www.scholarships.net.in/64830.html,scholarships.net.in,Student Scheme,N/A,N/A,N/A,N/A
Schaeffler India Hope Engineering Scholarship Program 2026,https://www.scholarships.net.in/64827.html,scholarships.net.in,Student Scheme,N/A,N/A,N/A,N/A
Satya Scholarship Program 2026 : Nehru Sidhant Kender Trust,https://www.scholarships.net.in/64823.html,scholarships.net.in,Student Scheme,N/A,N/A,N/A,N/A
Shrimati Sadhana Khaitan Vidyadhan Scholarship For Women in STEM 2026,https://www.scholarships.net.in/64819.html,scholarships.net.in,Student Scheme,N/A,N/A,N/A,N/A
Vidyadhan Puducherry Plus 1 Scholarship Program 2026,https://www.scholarships.net.in/64815.html,scholarships.net.in,Student Scheme,N/A,N/A,N/A,N/A
Vidyadhan Tamil Nadu Plus 1 Scholarship Program 2026,https://www.scholarships.net.in/64809.html,scholarships.net.in,Student Scheme,N/A,N/A,N/A,N/A
Vidyadhan Daman and Diu 11th Std Scholarship Program 2026,https://www.scholarships.net.in/64806.html,scholarships.net.in,Student Scheme,N/A,N/A,N/A,N/A
Vidyadhan SECMOLE Ladakh Scholarship Program 2026,https://www.scholarships.net.in/64802.html,scholarships.net.in,Student Scheme,N/A,N/A,N/A,N/A
Vidyadhan Rajasthan 11th Std Scholarship Program 2026,https://www.scholarships.net.in/64796.html,scholarships.net.in,Student Scheme,N/A,N/A,N/A,N/A
Vidyadhan Delhi 11th Std Scholarship Program 2026,https://www.scholarships.net.in/64793.html,scholarships.net.in,Student Scheme,N/A,N/A,N/A,N/A
Vidyadhan Maharashtra 11th Std Scholarship Program 2026,https://www.scholarships.net.in/64787.html,scholarships.net.in,Student Scheme,N/A,N/A,N/A,N/A
www.scholarships.net.in,https://www.scholarships.net.in/?blackhole=e55a36693b,scholarships.net.in,Student Scheme,N/A,N/A,N/A,N/A
"Web portal for
                                            Fellowship/Scholarship Legacy Cases",https://scholarship.canarabank.in/,ugc.gov.in,Student Scheme,N/A,N/A,N/A,N/A
ST Welfare Grant,https://tribal.nic.in/Scholarship.aspx/STWelfareGrant.aspx,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
DBT(Pre and Post Matric Scholarship),https://dbttribal.gov.in/,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
National Fellowship Scheme,https://fellowship.tribal.gov.in/,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
National Overseas Scholarship,https://overseas.tribal.gov.in/,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
Guidelines Pre-Matric (PDF),https://tribal.nic.in/Scholarship.aspx/downloads/guidelines/pre-matric/guidelines-Pre-matric-17-Oct-2022.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
lncrease in the scholarship amount under the Centrally Sponsored Scheme of Pre-Matric Scholarship for Scheduled Tribe students: 20 Dec 2019 (PDF),https://tribal.nic.in/Scholarship.aspx/downloads/guidelines/pre-matric/IncreaseincholarshipamtunderPrenPMS20Dec2019.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
Aadhar Notification for 8 schemes 9.6 (PDF),https://tribal.nic.in/Scholarship.aspx/downloads/circulars/Aadhar Notification for 8 schemes 9.6.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
2019-20 National Fellowship & Scholarship result (PDF),https://tribal.nic.in/Scholarship.aspx/downloads/results/2019-20 National Fellowship & Scholarship result.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
National Fellowship-FAQs (PDF),https://tribal.nic.in/Scholarship.aspx/downloads/faqs/National-Fellowship-FAQs.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
National Overseas Scholarship FAQs (PDF),https://tribal.nic.in/Scholarship.aspx/downloads/faqs/National-Overseas-Scholarship-FAQs.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
National Scholarship FAQs (PDF),https://tribal.nic.in/Scholarship.aspx/downloads/faqs/National-Scholarship-FAQs.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
Annexure I - Pre-Matric and Post-Matric Scholarship Fund released Utilized and Beneficiary 2013-24 to 2025-26,https://tribal.nic.in/Scholarship.aspx/downloads/scholarship/pre/AnnexureI-PreMatricnPost-MatricScholarshipFundreleasedUtilizedBeneficiary2013-24to2025-26.xlsx,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
Annexure II - Fund Release and Beneficiaries for Central Sector Scheme for Scholarship for F.Y.2023-14 to 2025-26,https://tribal.nic.in/Scholarship.aspx/downloads/scholarship/NFS/AnnexureII-FundReleasenBeneficiaries4CSSScholarship4FY2023-14to2025-26.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
No. of States/UTs received grant15,https://dashboard.tribal.gov.in/,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
https://scholarships.gov.in,https://scholarships.gov.in,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
"Amendment to para 4.1 [Part-B (Scholarship)] of the scheme ""National Fellowship and Scholarship for Higher Education for ST Students"" from 2023-24(PDF)",https://tribal.nic.in/Scholarship.aspx/downloads/guidelines/NFS/AmendmentGuidelinesNFS4highereducaton4STstudents_7July2023.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
"Revised List of 265 Institutes Eligible for Scholarship under National Fellowship and Scholarship for Higher Education of ST Students
(Top Class Scholarship Scheme) for 2023-24 onward (PDF)",https://tribal.nic.in/Scholarship.aspx/downloads/guidelines/Top-Class/Revised265-InstituteListTopClassScholarship2023-24onwards.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
Guidelines of scheme “National Fellowship and Scholarship for Higher Education of ST students. (PDF),https://tribal.nic.in/Scholarship.aspx/downloads/guidelines/Top-Class/GuidelinesFellowshipandScholarship2022.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
"Revised list of Institutes under the Scheme ""National Fellowship and  Scholarship for Higher Education  of ST Students"" from the existing  246 Institutes to 252 Institutes, from the financial year 2022-23(PDF)",https://tribal.nic.in/Scholarship.aspx/downloads/guidelines/Top-Class/RevisedList252lnslitutesEligibleforScholarshipforTopClassfromFY2022-23.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
2024-25 National Scholarship result  (PDF),https://tribal.nic.in/Scholarship.aspx/downloads/scholarship/topclass/TopClassSelectedStudentsListFY2024-25321222May2025.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
2024-25 National Scholarship result  (PDF),https://tribal.nic.in/Scholarship.aspx/downloads/scholarship/topclass/RevisedListTopClassSelectedStudentsFY2024-253211.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
2023-24 National Scholarship result  (PDF),https://tribal.nic.in/Scholarship.aspx/downloads/scholarship/topclass/List2893SelectedStudentsNSS202324.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
2022-23 National Scholarship result  (PDF),https://tribal.nic.in/Scholarship.aspx/writereaddata/News/202305230216135801919MeritList4PublishingonWebsitefor2022-23.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
2021-22 National Scholarship result  (PDF),https://tribal.nic.in/Scholarship.aspx/writereaddata/News/202210080750551326040NFSS202122Provisinal750forFellowshipSelected1788ScholarshipCandidateslist.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
2020-21 National Scholarship result (PDF),https://tribal.nic.in/Scholarship.aspx/downloads/results/Merit list-NFSS-2020-21.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
2019-20 National Scholarship result (PDF),https://tribal.nic.in/Scholarship.aspx/downloads/results/Letter and Provisionally List Top Class 2019-20.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
2018-19 National Scholarship result (PDF),https://tribal.nic.in/Scholarship.aspx/downloads/results/Final Merit List of 1000 students for 2018-19 Top Class Scheme_7.3.19.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
2017-18 National Scholarship result (PDF),https://tribal.nic.in/Scholarship.aspx/downloads/results/List of Candidates selected for National Scholarship for the year 2017.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
Guidelines of scheme “National Fellowship and Scholarship for Higher Education of ST students. (PDF),https://tribal.nic.in/Scholarship.aspx/downloads/guidelines/NFS/GuidelinesFellowshipandScholarship2022.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
"Ministry invites online application for National Fellowship under scheme ""National Fellowship & Scholarship for Higher Education of ST Students"" for the year 2024-25",https://tribal.gov.in/writereaddata/News/202408060927346401358advnfst202425.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
Ministry invites online applications for National Overseas Scholarship (NOS) Scheme from ST candidates for the year 2022-23,https://overseas.tribal.gov.in,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
Online application invited for National Fellowship  for the ST Students for the year 2021-22 -Advertisement,https://tribal.nic.in/Scholarship.aspx/downloads/scholarship/NS/NFST-Adv4invitingApp21-22.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
Extension of deadline for application Submission - National Fellowship for Higher Education of ST Students (NFST) 2025-26,https://tribal.gov.in/writereaddata/News/202509301100027960713ExtenLastDate4OnlineSubmissionApplications15102025.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
Ministry invites online applications for National Fellowship under the scheme “National Fellowship & Scholarship for Higher Education of ST Students” for the year 2025-26,https://tribal.nic.in/Scholarship.aspx/downloads/circulars/Inviteapplications4NFS202526.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
Revised rate of fellowship w.e.f 1.1.2023,https://tribal.nic.in/Scholarship.aspx/downloads/circulars/RevisionOfFellowshipAmountNFS4HESTStudentsScheme01012023.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
"List of 750 provisionally selected candidates for the year 2024-25 under the scheme of ""National Fellowship and Scholarship for Higher Education of ST Students""

  (PDF)",https://tribal.nic.in/Scholarship.aspx/downloads/scholarship/NFS/Listof750ProvisionallySelectedCandidates4NFST-2425.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
"2nd merit list for the year 2021-22 under the scheme of ""National Fellowship and Scholarship for Higher Education of ST Students""
  (PDF)",https://tribal.gov.in/writereaddata/News/2023062412302469279012ndmeritlist61candidates-2021-22.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
"List of 750 provisionally selected candidates for the year 2022-23 under the scheme of ""National Fellowship and Scholarship for Higher Education of ST Students""  (PDF)",https://tribal.gov.in/writereaddata/News/202306241240047515746listof750provisionallyselectedcandidateNFST-2022-23.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
2019-20 National Fellowship & Scholarship result (PDF),https://tribal.nic.in/Scholarship.aspx/downloads/results/Letter and Provisionally List NFST-2019-20.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
National Fellowship-FAQs (PDF),https://tribal.nic.in/Scholarship.aspx/downloads/faqs/FAQ_NFST_21-22.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
Amendment in eligibility criteria and courses covered under the NOS Scheme for ST Students from 2026-27(PDF),https://tribal.nic.in/Scholarship.aspx/downloads/guidelines/NOS/Amendment_NOS-2627.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
Revised NOS Guidelines (PDF),https://tribal.nic.in/Scholarship.aspx/downloads/guidelines/NOS/RevisedGuidelinesNOS07102022.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
List of provisionally selected candidates for the selection Year 2025-26 under National Overseas Scholarship Scheme,https://tribal.nic.in/Scholarship.aspx/downloads/scholarship/NOS/Listof22CandidatesProvisionallySelectedfor202526NOSScheme.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
Ministry invites online applications for the National Overseas Scholarship Scheme (NOS) from ST Candidates for the selection year 2025-26,https://tribal.nic.in/Scholarship.aspx/downloads/scholarship/NOS/202505150247488056377Advertisement.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
"List of provisionally selected PVTG candidates for the award of scholarship under the scheme ""National Overseas Scholarship for ST Students"" for selection year 2023-24.",https://tribal.nic.in/Scholarship.aspx/downloads/scholarship/NOS/NOSPVTGMeritListselectionyear202324.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
List of 17-provisionally selected candidates for the year 2023-24 under National overseas Scholarship Scheme,https://tribal.nic.in/Scholarship.aspx/downloads/scholarship/NOS/NOSMeritList-17-Candidates-Selectionyear2023-24.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
"Amended list of provisionally selected candidates for the award of scholarship under the scheme ""National Overseas Scholarship for ST Students"" for selection year 2022-23",https://tribal.gov.in/writereaddata/News/202305121028551627546AmendedlistofprovisionallyselectedcandidateunderNOSselectionyear2022-23.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
"List of provisionally selected PVTG candidates for the award of scholarship under the scheme ""National Overseas Scholarship for ST Students""  for selection year 2022-23 (PDF)",https://tribal.nic.in/Scholarship.aspx/downloads/scholarship/NOS/ListofProvisinallySelectedPVTGunderNOS2022-23.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
National Overseas Scholarship FAQs - 2025-26 (PDF),https://tribal.nic.in/Scholarship.aspx/downloads/faqs/FAQs-NOS-2025-26.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
EDU Post Matric Scholarship PMS for  ST students (PDF),https://tribal.nic.in/Scholarship.aspx/downloads/guidelines/post-matric/EDUPostMatricScholarshipPMSforSTstudents230513.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
"UIDAI Guidelines on  Aadhaar Act, section 7, 25th Nov 2019",https://tribal.nic.in/Scholarship.aspx/downloads/circulars/UIDAI_Guidelines_on_use_of_Aadhaar__25Nov_19.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
Guidelines Premateic wef 1.7.2012 (PDF),https://tribal.nic.in/Scholarship.aspx/downloads/guidelines/pre-matric/EDUGuidelines.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
2018-19 National fellowship & Scholarship result (PDF),https://tribal.nic.in/Scholarship.aspx/downloads/results/2018-19 National fellowship & Scholarship result.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
Revised List of 246 lnstitutues Eligible for Scholarship under National Fellowship and Scholarship for Higher Education of ST Students (PDF),https://tribal.nic.in/Scholarship.aspx/downloads/guidelines/Top-Class/246RevisedInstitutesListj18.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
"Amendment to para 3.1 of the scheme ""National Fellowship and Scholarship for Higher Education of ST students"" - coverage of universities/ institutions :12 Nov 2018 (PDF)",https://tribal.nic.in/Scholarship.aspx/downloads/guidelines/Top-Class/Amendmenttopara12112018.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
"Amendment to para 3.1 of the scheme ""National Fellowship and Scholarship for Higher Education of ST students"" - coverage of universities/ institutions: 27 Aug 2018 (PDF)",https://tribal.nic.in/Scholarship.aspx/downloads/guidelines/Top-Class/Amendmentpara31dated27Aug2018.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
"Amendment to para 4.1 [Part-B (Scholarship)] of the scheme ""National Fellowship and Scholarship for Higher Education for ST Students"" from 2023-24 (PDF)",https://tribal.nic.in/Scholarship.aspx/downloads/guidelines/NFS/AmendmentGuidelinesNationalfellowsipscholarhsip4highereducaton4STstudents_7July2023.pdf,tribal.nic.in,Student Scheme,N/A,N/A,N/A,N/A
